QueryText,KccAns
ASKED ABOUT VARIETIES,RECOMMENDED TO CHOOSE HIMA OR CHANDANA
ASKED ABOUT THE CONTROL OF BPH IN PADDY,RECOMMENDED TO SPRAY HEXACVONAZOLE2MLLITER
ASKED ABOUT THE CONTROL OF BPH IN PADDY,RECOMMENDED TO SPRAY HEXACVONAZOLE2MLLITER
ASKED ABOUT CONTROL OF TERMITES IN MANGO,RECOMMENDED TO APPLY LINDANE POWDER
ASKED ABOUT CONTROL OF TERMITES IN MANGO,RECOMMENDED TO APPLY LINDANE POWDER
ASKED ABOUT CONTROL FOR RATS DAMAGE,RECOMMENDED TO APPLY BROMADIOLINE OIL MIXTURE
ASKED ABOUT CONTROL FOR RATS DAMAGE,RECOMMENDED TO APPLY BROMADIOLINE OIL MIXTURE
ASKED ABOUT CONTROL OF SHEATH ROT IN RICE,RECOMMENDED TO SPRAY BENOMYL 2MLLT
ASKED ABOUT CONTROL OF SHEATH ROT IN RICE,RECOMMENDED TO SPRAY BENOMYL 2MLLT
ASKED ABOUT CONTROL OF FRUIT DAMAGE IN JOWAR,RECOMMENDED TO SPRAY ENDOSULFAN 2MLLT
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
ASKED ABOUT VARITIES IN SESAMUM,RECOMMENDED VARITIES ARE YELAMANCHILI  RAJESWARI
ASKED ABOUT VARIETIES WHICH ARE RESISTANT FOR RICE BLAST IN KHARIF SEASON,RECOMMENDED TO CHOOSE MTU- 1001 OR 1010 OR 3626
ASKED ABOUT VARIETIES WHICH ARE RESISTANT FOR RICE BLAST IN KHARIF SEASON,RECOMMENDED TO CHOOSE MTU- 1001 OR 1010 OR 3626
ASKED ABOUT VARIETIES,RECOMMENDED TO CHOOSE RAJESHWARI OR SWETHATHIL
ASKED ABOUT VARIETIES,RECOMMENDED TO CHOOSE RAJESHWARI OR SWETHATHIL
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONOZOLE 2MLLTR
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONOZOLE 2MLLTR
ASKED ABOUT VARITIES OF SESAMUM,RECOMMENDED TO SWETHATHILRAJESHWARI VARITIES
ASKED ABOUT VARITIES OF SESAMUM,RECOMMENDED TO SWETHATHILRAJESHWARI VARITIES
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED FOR THE APPLICATION OF CARTAPHYDROCHLORIDE 2GMLTR
ASKED ABOUT CONTROL FOR PINK BOLLWORM,RECOMMENDED TO APPLY ENDOSULFON 2MLLITRE
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 2 GMLTR
ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED FOR THE APPLICATION OF ACEPHATE 15 GMLTR
ASKED ABOUT CONTROL FOR STORAGE PESTS,RECOMMENDED TO APPLY ALUMINIUM PHOSPIDE TABLETS
ASKED ABOUT CONTROL FOR STORAGE PESTS,RECOMMENDED TO APPLY ALUMINIUM PHOSPIDE TABLETS
ASKED ABOUT FRUIT FALL IN MANGO,RECOMMANDED TO SPRAY POLYFIDE3GM 15ML MONOCROTPHOS IN LITER WATER
ASKED ABOUT BIRD REARING,GIVEN NO: 040-24015323
EASILY PULL OUT OF SUGARCANE,RECOMMANDED TO SPRAY ENDOSULPHON2MLLIT WATER
ASKED ABOUT CONTROL FOR FRUIT BORER DAMAGE,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLITRE
ASKED ABOUT CONTROL OF STEM BORER IN JOWAR,RECOMMENDED TO SPRAY CARBOFURAN 4G GRANULES
ASKED ABOUT THE RICE VARIETIES,RECOMMENDED VARIETIES ARE MTU1001APOORVAPRABATH
ASKED ABOUT CONTROL OF RICE STEM BORER,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 25GMLT
ASKED ABOUT THE EARLY SOWING,ESC TO ATIC
ASKED ABOUT COTROL OF MITES,RECOMMENDED TO SPRAY DICOFOL 2GMLTWATER
ASKED ABOUT THE WEEDICIDE,RECOMMENDED TO SPRAY PENDIMITHALIN 15 LTRACRE
ASKED ABOUT AGRICULTURE IMPLEMENTS,PROVIDED HIM WITH REQUIQED INFIRMATION
ASKED ABOUT THE WEEDICIDE,RECOMMENDEDWEEDICIDE IS BENTHIOCARP 15 LTRACRE
ASKED ABOUT THE CONTROL OF RUSTANTHRACNOSE,RECOMMENDED TO SPRAY COPPEROXI CHLORIDE3glit OF WATER
ASKECX ABOUT THE SOWING SEASON,INFORMED THAT IT IS JUNE TO JULY
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE PKM-1JAFNA
ASKED ABOUT SEED TREATMENT OF TURMERIC,RECOMMENDED TO TREAT THE SEEDS WITH MANCOZEB 3GMKG SEED IN 1 LT
ASKED ABOUT FERTILIZER DOSAGE IN OILPALM IN THIRD YEAR,RECOMMENDED TO APPLY N-2610  SSP-3750 MOP-2000 MAGNESIUM SULPHATE-500 GMSPLANT
ASKED ABOUT THE WEED CONTROL,RECOMMENDED TO SPRAY ATRATAP800gacre TO BE MIXED IN 240 LIT OF WATER
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY 100ML GLYPHOSATE WITH 100GR AMMONIUM SULPHATE WITH 10 LITRES OF WATER
ASKED ABOUT CONTROL FOR SUCKING PESTS DAMAAGE,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TOSPRAY PARAQUAT 40ML10LIT WATER
ASKED ABOUT VARIETIES,RECOMMENDED TO CHOOSE ICPL-85063 OR PALNADU OR LRG-38
ASKED ABOUT REMEDY FOR ZINC DEFFICIENCY,RECOMMENDED TO SPRAY ZNSO4  2glit OF WATER
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY ALLACHLORE 1LITREACRE
ASKED ABOUT THE CONTROL OF FRUIT BORER,RECOMMENDED TO SPRAY PROPHENOPHOS  2mllit OF WATER
ASKED ABOUT INFORMATION ON DRUM SEED TECHNIQUE,ESC TO ATIC
ASKED ABOUT WEATHER DATA,ANSWER GIVEN AS PER DATA
ASKED ABOUT THE CONTROL OF STEM BORER DAMAGE,RECOMMENDED TO SPRAY CARTAP HYDRO CHLORIDE 2 GMLTR
ASKED ABOUT THE CONTROL OF ZINC DEFECIENCY,RECOMMENDED FOR THE APPLICATION OF ZINC SULPHATE 2 GMLTR
ASKED ABOUT CONTROL FOR LEAFFOLDER DAMAGE,RECOMMENDED TO SPRAY CHLORPYRIPOS 25MLLITRE
ASKED ABOUT CONTROL FOR POWDERY MILDEW,RECOMMENDED TO SPRAY DINOCAP 1MLLIT
ASKED ABOUT CONTROL OF WEEDS IN PADDY,RECOMMENDED TO SPRAY BUTACHLORE 15LT200LT WATER
ASKED ABOUT INFORMATION ON BIOFERTILIZER,ESC TO ATIC
ASKED ABOUT THE CONTROL OF ZINC DEFECIENCY,RECOMMENDED FOR THE APPLICATON OF ZINC SLPHATE 2 GMLTR
ASKED ABOUT THE FERTILIZER DOSAGE,RECOMMENDED DOSAGE IS 32 KG-N 24 KG-P 20-KG-K
ASKED ABOUT FERTILISER DOSAGE,RECOMMENDED FOR THE APPLICATION 14KG N 44KG P14KG K
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY PROPICONOZOLE 2MLLIT OF WATER
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY CHLORIPYRIPHOS  25mllit OF WATER
ASKED ABOUT THE CONTROL OF HOPPER,RECOMMENDED TO SPRAY CARBORYL  3GLIT OF WATER
ASKEDA ABOUT THE CONTROL OF FRUIT BORER,RECOMMENDED TO SPRAY PROPHENOPHOS  2mllit OF WATER
SAKED ABOUT THE CONTROL OF RUST DISEASE,RECOMMENDED TO SPRAY MANCOZE4B  25glit OF WATER
SAKED ABOUT THE CONTROL OF RUST DISEASE,RECOMMENDED TO SPRAY MANCOZE4B  25glit OF WATER
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMENDED TO SPRAY TRICYCLAZOLE 06GRLIT OR ADEFENPHOS 1MLLIT
ASKED ABOUT THE CONREOL OF STEM BORER,RECOMMENDED TO SPRAY CHLORIPYRIPHOS  25mllit OF WATER
ASKED ABOUT THE CONTROL OF GUNDHIBUG,RECOMENDED FOR THE APPLICATION OF MONOCROTOPHOS 16MLLIT
ASKED ABOUT THE CONTROL OF GREENLEAF HOPPER,RECOMENDED FOR THE APPLICATION OF MONOCROTOPHOS 22 MLLIT
ASKED ABOUT THE CONTROL OF SHEATROT,RECOMENDED FOR THE APPLICATION OF BENOMYL 05GLIT
ASKED ABOUT THE FERTILIZER DOSAGE FOR RICE NURSERY,RECOMMENDED TO APPLY 2KG N1KG P1KG K5 CENTS AREA
ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED TO APPLY CARBOFURAN 3G  10kgacre
ASKED ABOUT CONTROL OF SHEATH ROT,RECOMMENDED FOR THE APPLICATION OF BENOMIL 05GMLIT
ASKED ABOUT THE CONTROL OF SHEATH ROT,RECOMMENDED TO SPRAY BENOMYL 05 GRLIT 2 TIMES IN 7 DAYS INTERVAL
ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED TO SPRAY ETHOFENPHOS 15 MLLIT
ASKED ABOUT THE CONTROL OF THRIPS,RECOMMENDED TO SPRAY CARBARYL  600gacre
ASKED ABOUT THE SOWING SEASON,INFORMED TO SOW DURING NOVEMBER-JUNUARY
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE MORDENDRSF-108DRSH-1
ASKED ABOUT THE SOWING SEASON,INFORMED TO SOW DURING NOVEMBER-JUNUARY
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE MORDENDRSF-108DRSH-1
ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED FOR THE APPLICATION OF PENDIMITHALIN 15 LTRACRE
ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED FOR THE APPLICATION OF PENDIMITHALIN 15 LTRACRE
ASKED ABOUT HYBRID NAPIAR GRASS VARITIES AND SOWING SEASON,INFORMMED TO THAT VARITIES ARE APBS-1IGFRI-3CO-3IGRI-10 AND SOWING SEASONIS FROM JANAVARY TO FEB
ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED FOR THE APPLIATION OF NAA AND DAP
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE NLR-33359RDR-355NLR-33057
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE NLR-33359RDR-355NLR-33057
ASKED ABOUT THE CONTROL OF FRUIT BORER,RECOMMENDED TO SPRAY PROFENOPHOS 2 MLLIT
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE 90A17690R597A85
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE 90A17690R597A85
ASKED ABOUT THE CONTROL OF FRUIT BORER,RECOMMENDED TO SPRAY PROFENOPHOS 2 MLLIT
ASKED ABOUT THE CONTROL OF WHITE FLY,RECOMMENDED TO SPRAY ACEPHATE  15glit OF WATER
ASKED ABOUT THE CONTROL FOR FLOWER DROP,RECOMMENDED TO SPRAY PLANOFYX  25ml10lit OF WATER
ASKED ABOUT THE CONTROL OF EARLY BLIGHT,RECOMMENDED TO SPRAY MANCOZEB 3 GRLIT
ASKED ABOUT THE CONTROL OF EARLY BLIGHT,RECOMMENDED TO SPRAY MANCOZEB 3 GRLIT
ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED TO SPRAY PLANOFIX 25ML10LIT
ASKED ABOUT THE WEATHER REPORT,INFORMED HIM AS PER THE REPORTS PROVIDED
ASKED ABOUT THE WEATHER REPORT OF PARVATIPURAM,INFORMED AS PER THE PROVIDED INFORMATION
ASKED ABOUT THE CONTROL OF SHEATH ROT,RECOMMENDED TO SPRAY BENOMIL 1 GR2LIT
ASKED ABOUT THE CONTROL OF FRUIT BORER,RECOMMENDED TO SPRAY PROPHENOPHOS  2mllit OF WATER
ASKED ABOUT CONTROL OF LEAFSPOT,RECOMMENDED TO SPRAY MANCOZEB 3GMLIT
ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE  05glit OF WATER
ASKED ABOUT THE SOWING SEASON,RECOMMENDED TO SOW DURING JANUARY-FEBRUARY
ASKED ABOUT WEATHER REPORT,INFORMMED AS PER PROVIDED DATA
ASKED ABOUT THE CONTROL OF EARLY BLIGHT,RECOMMENDED TO SPRAYN COPPER OXY CHLORIDE 3GMLTR
ASKED ABOUT THE CONTRL OF WEEDS,RECOMME4NDED TO PSRAY PARAQUAT 40ML10LTR
ASKED ABOUT THE CONTROL OF FRIUIT DROPIN MANGO,RECOMMENDEDTO SPRAY 1GR 24DIN 100LTR OF WATER
ASKED ABOUT THE CONTROL OF SUKING PEST IN MANGO,RECOMMENDED TO SPRAY PHOSPOMIDON05MLLIT
ASKED ABOUT THE CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL,RECOMMENDED TO SPRAY PROPHENOPHOS 2MLLT
ASKED ABOUT THE CONTROL OF BACTERIAL WILT IN BRINJAL,RECOMMENDED TO CYPERMETHRIN05MLLIT
ASKED ABOUT CONTROL FOR CHILLI THRIPS,RECOMMENEDED TO SPRAY ACEPHATE 15GRLITRE
ASKED ABOUT CONTROL FOR SUCKING PESTS,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKEC ABOUT THE CONTROL OF POWDERY MILDEW IN CUCURBITS,RECOMMENDED TO SPRAY METALAXYL MZ2GRAMSLITRE
ASKED ABOUT THE CONTROL OF BLAST IN RICE,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRMSLITER
ASKED ABOUT CONTROL FOR SCALES,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKED ABOUT INFORMATION FOR TURKEY BIRDS,ESC TO 23311720
ASKED ABOUT CONTROL FOR RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 120GR200 LITRES
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLITER
ASKED ABOUT MARKET PRICE IN MAIZE,RECOMMENDED MARKET PRICE 860RS
ASKED ABOUT MARKET PRICE IN MAIZE,RECOMMENDED MARKET PRICE 860RS
ASKED ABOUT THE CONTROL OF WEEDS IN SUGAR CANE CROP,RECOMMENDED TO SPRAY METROBIZIN600GRAMS45LITERS
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
ASKED ABOUT CONTROL OF WEEDS IN SUGAR CANE CROP,RECOMMENDED TO ATRAZIN 2KGACRE
ASKED ABOUT CONTROL OF STEM BORER IN PADDY,RECOMMENDED TO SPRAY CLOROPHIRIPHOS 2ML1L WATER
ASKED ABOUT VARIETIES,RECOMMENDED TO CHOOSE DHM VARIETIES LIKE 109 OR 107
ASKED ABOUT THE FERTILIZER DOSAGE,RECOMMENDED FOR THE APPLICATION OF 200GM N200GM K PER PLANT IN EQUAL PARTS AT3570120180 DAS
ASKED ABOUT THE FERTILIZER DOSAGE,RECOMMENDED FOR THE APPLICATION OF 200GM N200GM K PER PLANT IN EQUAL PARTS AT3570120180 DAS
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
ASKED ABOUT CONTROL OF WILTING OF CITRUS PLANTS,RECOMMENDED TO SPRAY COC 3GM1L WATER
ASKED ABOUT SEED TREATMENT,RECOMMENDED TO APPLY CARBENDAZIM 25GRKG SEED
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE CO6907CO T820185A26181A9981V4884A125
ASKED ABOUT FLOWERING IN PAPAYA,RECOMMENDED TO SPRAY PLANOFIX 25GM10LT
ASKED ABOUT THE FARM IMPLEMENTS,GAVE HIM THE INFORMATION REGARDING FARM IMPLEMENTS
ASKED ABOUT INFORMATION ON RABBIT FARM,ESC TO AH
ASKED ABOUT THE SEEDRATE,RECOMMENDED SEEDRATE IS 2-3 KGACRE
ASKED ABOUT CONTROL FOR FLOWER DROP,RECOMMENDED TO SPRAY PLANOPHIX 25ML10 LITRES
ASKED ABOUT THE RABBIT REARING,ESC TO AH
ASKED ABOUT THE SRI CULTIVATION,GIVEN THE DATA AS PER PROVIDED
ASKED ABOUT CONTROL FOR SUCKING PESTS CONTROL,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKED ABOUT RICE VARITIE,RECOMMENDED VARITIE IS BPT-5204
ASKED ABOUT CONTROL OF RICE STEM BORER IN PADDY,RECOMMENDED TO SPRAY CQARTAPHYDROCH LORIDE 8KGACRE
ASKED ABOUT MARKET INFORMATION OF SESAMUM,GIVEN AS PER DATA
ASKED ABOUT THE INFORMATION ABOUT THE PRACTICE OF SRI VARI SAGU,PROVIDED HIM WITH THE REQUIRED INFORMATION
ASKED ABOUT CONTROL FOR IRON DEFFICIENCY,RECOMMENDED TO SPRAY ANNABEDI 20GMLIT WATER
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE BENESHANTOTAPURIMANJEERANEELESHAN
ASKED ABOUT GRANULES DOSAGE IN PADDY,RECOMMENDED TO APPLY CAROFURAN GRANULES
ASKED ABOUT RABBIT INFPRMATION,ESC ANIMAL HUSBANDARY
ASKED ABOUT CONTROL FOR LEAFFOLDER,RECOMMENDED TO SPRAY CLOROPYRIPOS 2MLLIT
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED FOR THE APPLICATION OF CARTAPHYDROCHLORIDE 2 GMLTR
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY ACEPHATE  15glit OF WATER
ASKED ABOUT CONTROL OF RICE LEAF FOLDER,RECOMMENDED TO SPRAY ACEPHATE 15GMLT
ASKED ABOUT CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE 2MLLT
ASKED ABOUT THE FERTILIZER DOSAGES,RECOMENDE FOR APPLICATION AS RECORDING TO THE DOSAGES GIVEN
ASKED ABOUT THE COST OF BAJRA NARSARAOPETVAR,INFORMED ABOUT THE COST AS MAX1000 RsQuintal
ASKED ABOUT THE COST OF BAJRA NARSARAOPETVAR,INFORMED ABOUT THE COST AS MAX1000 RsQuintal
ASKED ABOUT THE CONTROL OF IRON DEFECIENCY,RECOMMENDED FOR THE APPLICATION OF 30 GM ANNABEDHI  2GM LIME SALY PER LITRE WATER
ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED FOR THE APPLICATION OF ACEPHATE 15 GMLTR
ASKED ABOUT CONTROL OF BPH IN RICE,RECOMMENDED TO SPRAY MONOCROTOPHOS 22MLLIT
ASKED ABOUT THE SOWING TIME,INFORMED TO SOW DURING OCTOBER
ASKED ABOUT THE CONTROL OF TERMITES,RECOMMENDED TO SPRAY LINDANE 3 MLLIT
ASKED ABOUT THE VARITIES,SUGGESTED VARITIES ARE LUTINRED TREMPHCARDINAL
ASKED ABOUT THE WEATHER REPORT OF PARVATIPURAM,INFORMED AS PER THE PROVIDED INFORMATION
ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED TO SPRAY 24-D 1gm100LIT
ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE  05glit OF WATER
ASKED ABOUT THE VARITIES THAT ARE SUITABLE FOR RABI,SUGGESTED TO GO FOR IR-64SWATHISOMASHEELAPOTHANA
ASKED ABOUT CONTROL OF CLIMBING CUTWORM,RECOMMENDED FOR THE APPLICATION OF ENDOSULPHON 2OMLDICHLORVAS 1MLLIT
ASKED ABOUT THE WEATHER,INFORMED HIM AS PER THE REPORTS PROVIDED
ASKED ABOUT THE CONTROL OF SUCKING PEST,RECOMMENDED TO SPRAY DIMETHOATE 2MLLIT
ASKED ABOUT THE CONTROL OF CERCOSPORA LEAFSPOT,RECOMMENDED TO SPRAY COPPEROXYCHLORIDE 3GMLIT
ASKED  ABOUT THE FERTILIZZER APPLICATION,RECOMMENDED TO APPLAY 90GM UREA260GM SINGLE SUPER PHOSPHATE140GM M O P  EVERY TWO MONTHS
ASKED ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED TO SORAY TRICYCLOZOLE 06GMLTR
ASKED ABOUT THE CONTROL OF ZINC DEFECIENCY,RECOMMENDED TO APPLY ZINCSULPHATE 20KGACRE
ASKED ABOUT THE FERTILISER RECOMMDNDATION IN PADDY,RECOMMENDED 48-24-16
ASKED ABOUT THE SEED VARIETIES OF PAPAYA,RECOMMENDED RED LADY VARIETY PAPAYA
ASKED ABOUT CONTROL FOR STEMBORER,RECOMMENDED TO SPRAY CHLORIPHYRIPHOS 2MLLT
ASKED ABOUT RECOMMENDATIONS OF STORAGE FOR SPAN,RECOMMENDED TO STORE THE SPAN AT 5-10 CENTIGRADE FOR ONE MONTH
ASKED ABOUT THE CONTROL OF BLAST IN RICE,RECOMMENDED TO SPRAY TRICYCLOZOLE 006GMLT
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLIT
ASKED ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED TO SPRAY TRYCYCLOZE066GRACRE
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY PENDIMETHYLIN 15LTACRE
ASKED ABOUT THE CONTROL OF BROAD LEAF WEEDS IN PADDY,RECOMMENDED TO SPRAY 24DETHYL ESTER4GRNULES 4KGSACRE
ASKED ABOUT THE CONTROL OF GALLMIDGE,RECOMMENDED TO SPRAY CARBOFURAN 10 KGACRE
ASKED ABOUT CONTROL FOR STEM BORER,RECOMMENDED TO APPLY CARTAPHYDROCHLORIDE 4G GRANULES 8KGACRE
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLIT
ASKED ABOUT THE CONTROL OF BLAST IN RICE,RECOMMENDED TO SPRAY TRICYCLOZOLE 006GMLT
ASKED ABOUT THE CONTROPL OF FLOWER DROP,RECOMMENDED TO PROVIDE NUTRIENTS AND TO SPRAY PLANOPHIX 1ML5LTR
ASKED ABOUYT THE DOSAGE OF UREA FOR THIRD APPLICATION,RECOMMENDED TO APPLY 20KG UREAACRE
ASKED ABOUT CONTROL FOR LEAF SPOTS,RECOMMENDED TO SPRAY BAVISTIN 1GRLITRE
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY MONOCROTOPHOS2MLLIT
ASKEDE ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 06GMLTR
ASKED ABOUT CONTROL FOR Mg DEFICIENCY,RECOMMENDED TO SPRAY MAGNISHIYAM SULPHATE 10GMLT
ASKED ABOUT CONTROL FORSTEM BORER,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 4G 8KGACRE
ASKED ABOUT THE CONTROL OF LEAF WEBBER IN MANGO,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLT
ASKED ABOUT CONTROL FOR GALLMIDGE,RECOMMENDED TO APPLY PHORATE 10G 5KGACRE
ASKED ABOUT REMEDY FOR THE LEAF DROP,RECOMMENDED TO CUT THE LEAVES THERE IS NO OTHER REMEDY
ASKED ABOUT CONTROL FOR BROAD LEAVED PLANTS WITH MONOCOT WEEDS IN RICE FIELD,RECOMMENDED TO SPRAY 4KGS BUTACHLOR MIXED WITH 4KGS 24-D AND ETHYL ESTER 4
ASKED ABOUT THE CONTROL OF TIKKA LEAF SPOT IN GROUND NUT,RECOMMENDED TO SPRAY CHLOROTHALANIL 2MLLT
ASKED ABOUT CONTROL FOR STEM BORER DAMAGE,RECOMMENDED TO SPRAY CORTOP HYDROCHLORIDE 2GRLITRE
ASKED ABOUT CONTROL FOR GALLMIDGE,RECOMMENDED TO APPLY PHORATE10G 5KGACRE
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 2GMLTR
ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO SPRAY BUTACHLORE 16LTACRE
ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO SPRAY BENTHIOCARP 2LTACRE
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE6GRAMSLIT
ASKED ABOUT THE FERTILIZER APPLICATION,RECOMMENDED FERTILIZERS ARE 48KGN 24KGP 16KGK
ASKED ABOUT CONTROL FOR RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 120GR200 LITRES
ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO APPLY BUTACHLORE 15-2LTACRE
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLIT
ASKED ABOUT THE CONTROL OF LITTLE LEAF BRINJAL,RECOMMENDED TO SPRAY METHYL DEMATON 2MLLT
ASKED ABOUT CONTROL FOR STEM BORER DAMAGE,RECOMMENDED TO APPLY CORTOP HYDROCHLORIDE GRANULES 8KGSACRE
ASKED ABOUT MARKET INFORMATION,GIVEN INFORMATION IS 2000-2500
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY PARAQUAT 40ML10LT
ASKED ABOUT THE CONTROL OF BLAST IN RICE,RECOMMENDED TO SPRAY TRICYCLOZOLE 06GMLT
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZE06GRAMSLIT
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLIT
ASKED THAT WILL THERE BE ANY PROBLEM IF THERE IS GROWTH OF AZOLLA IN PADDY FIELD,INFORMED THAT IT IS USEFUL TO THE FIELD AND THERE IS NO PROBLEM WITH THAT
ASKEDABOUT CONTROL FOR TERMITES,RECOMMENDED TO SPRAY CHLORYPHYRIPHOS 2MLLT
ASKED ABOUT POTASSIUM DEFICIENCY,RECOMMENDED TO SPRAY POTASSIUM SULPHATE 2GMLT
ASKED ABOUT THE CONTROL OF SHEATH ROT,RECOMMENDED TO SPRAY CARBENDAZIM 1GMLTR
ASKED ABOUT APPLICATION OF NEEM OIL,RECOMMENDED TO SPRAY 5MLLITRE
ASKED ABOUT THE CONTROL OF HELICOVERPA IN BEANS,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLT
ASKED ABOUT THE CONTROL OF THRIPS IN CHILLIES,RECOMMENDED TO SPRAY ACEPHATE15GRAMSLITER
ASKED ABOUT THE CONTROL OF YELLOW STEM BORER,RECOMMENDED TO SPRAY CARTAP HYDRO CHLORIDE25GRMSLITER
ASKED ABOUT CONTROL FOR SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONAZOLE 2MLLT
ASKED ABOUT CONTROL FOR RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 120GR200 LITRES ACRE
ASKED ABOUT CONTROL FOR LEAF FOLDER DAMAGE,RECOMMENDED TO SPRAY CHLORPYRIPOS 25MLLITRE
ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED TO SPRAY ACEPHATE 15 GMLTR
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
