QueryText,KccAns
Asking about Complex fertilizers can be used for Groundnut,:      :
ground nut leaf minor management,recommended for spray dimethaoate 2 ml  lit of water
Fertilizer dose in Groundnut,Fertilizer dose in Groundnut- Recommended to apply urea-4 kgDAP-34 kg MOP-26 kg per acre
ground nut plant growth management,ground nut plant growth management :recommeded to spray potassium nitrate 1 kgacre
GROUND NUT VARITIES,RECOMMENDED KADIRI-4KADIRI-5KADIRI-6
ASk about Ground Nut Weedicide,Suggestion:Oxyflorfene 235 EC 25 MlPump
Asking about foliar nutrient spray for groundnut,Recommended for spray MN mixture 5 gram  litre of water
Information about weather,Kisan bhai aapke shetra mein 25 august se 28 august ko barish ki sambhavna hai
TELL ME ABOUT FERTILISER IN GROUNDNUT,130
Tikka leaf spot in groundnut,Recommended for spray copper hydroxide 2 gram litre of water
leaf eating caterpillar in groundnut,recommended for spray NPV 100 ml  acre
GROUDNUT PEST rogar  the 15ml per liter of water,rogar  the 15ml per liter of water
TELL ME NUTRIENT MANAGEMANT IN GROUNDNUT,SPRAY MICRO NUTRIENT 4 GLIT WATER
FERTILIZER,SPRAY 12-61-0  BOOM FLOWER
farmer asked about nutrient management in ground nut,recommended to apply 20 KG of UREA  and 30 KG of MOP per acre
spray for max peg formation,spray for max peg formation -apply 50 kg gypsum acre
ASKED ABOUT TO INSECT CONTROL IN BAJRA CROP,25   4
Farmer asked weed control in soyabean crop,10 EC          -   -
fertilizer,apply gypsum 10 kilo ekar
WEEDMANAGEMENT IN GROUNDNUT,SPRAY OXYGOLD 10ML15LIT WATER FOR WEEDMANAGEMENT IN GROUNDNUT
Ground nut sucking pest management,RECOMMENDED TO SPRAY IMIDACLOPRID CONFIDOR 60 ML200 LITRES OF WATER ACRE
Ask about groundnut sowing time,June- july gg - 20 1 week of june
NOT GROWTH OF GROUNDNUT,8 KG UREA 4 KG MICRONUTRIENT PER BIGHA
seed treatment,thira and rhizobium
TELL ME BLACK ROOT DISESE CONTROLL IN GROUNT,APPLIED BAVISTEN 250 GM BIGHA  WITH IRRIGATION WATER
Control of Stem rot in Ground nut,Copper oxychloride 3 gmliter paani ke saath chidkaw kare
Asked about Alternaria leaf disease management for Groundnut,:         :     5
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,50   5  2
ask about white grub in ground nut,I suggested to give chloropyriphos 4 lit ha with irrigation white grub in ground nut
gypsum applcation,recommended 200kgacre
Information about Fertilizers Dose use in Groundnut  oilseeds  crop,-32      -10
borer,profex super
tobacco caterpillar management in ground nut,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE PROCLAIM 90 GRAMS 150 LITRES OF WATER  ACRE
GROUNDNUT seed rate,Use 50 kgacre of kernels Increase the seed rate by 15 in the case of bold seeded varieties
mung phalli me ukhta laga hai,Carbendazim 50WP 2-3 gm  liter pani ka ghool banaker spray kare
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,SPRAY OF MULTIPLAX MICRONUTRIENT 3-4 ML PER LITER WATER
groundnut disease,saaf at 2 g in 1 liter water
PROBLEM OF YELLWOING IN GROUNDNUT CROP,USE--FERAS-SALFETH  5GRAMLITERWATER BY SPRAY
Farmer asked gypsum Fertilizer dose information of Groundnut crop,-
Asked about DAP application in groundnut,:     :  2   200
GROUNDNUT NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY  FERROUS SULPHATE 2-5GM CITRIC ACID 1 GM  1 LITER OF WATER ACRE
Farmer has enquired about control measure for sucking pest attack in groundnut,to control sucking pest attack in groundnut confidor 10ml 15 Lit of Water
TERMITE IN GROUNDNUT,APPLY CHLOROPYRIPHOS POWDER
ASKED ABOUT TO DISEASE CONTROL IN GROUND NUT,75   45   2
Farmer asked Larvae control information of groundnut,EC 0
LEAF CURL IN GROUNDNUT,RECOMMENDED TO SPRAY ACEPHETE 1GM LIT WATER FOR CONTROL OF LEAF CURL IN GROUNDNUT
TELL ME ABOUT IRRIGATION MANAGEMENT IN GROUNDNUT CROP,4
mites in gnuty,spyromesifen 15 ml per pump
ask about weed control,I suggested pendimethalin 60 mlpump
plant growthpermoter of mungphali,kisan bhai aap Amino acid 8-10 kg ekad ki dar se prayog kare
TELL ME ROOT ROT CONTROL IN GROUNDNUT,250
Aphids in groundnut,Recommended for spray Fipronil 5  SC 15 mllit of water
ASKING ABOUT WEATHER INFORMATION,CLEAR WEATHER TILL 10 NOVEMBER
FARMER ASKED ABOUT TO INSECT CONTROL IN  GROUNDNUT,15  25
leaf spot in ground nut,recomanded quinqlphas 20milliliteracre
ask about larvae information,Suggested: Coragen 185 SC 5mlpump spray  final solution
seed treatment for groundnut,--   -   -
Asking about Fertilizer application procedure for Groundnut,:       :
Asked about water management for groundnut crop,:      :   7  10
ground nut problem,Pre-sowing: Fluchloralin at 20 lha soil applied and incorporated
Farmer asked Sucking pest in groundnut crop,SL 7-8
Give information about germination temperature for Potato crops,15  25
seed treatment for groundnut,RECOMMENDED TO apply CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM  1 gram per kg seed
wilt attack,Drenching of Ridomil gold 30 gm 15 liter water
want to know about weather report,possibility of lightly rain in the date of 22 june to 27 june
Asking about rolling empty drum on groundnut plants,:          :
Asked about nutrient management in groundnut,apply-potash 30kg gypsum 100kgacre
aphids in ground nut,recommended for spray imidachloprid 15 ml  litre of water
Asked about Plant Protection groundnut,suggested that to spray cypermethrin 2ml in one liter of water
fungal infection in ground nut,RECOMMENDED TO SPRAY CHLOROTHALANILKAVACH DACONIL BRAVO  400 GRAMS PER ACRE
Dry root rot problem of groundnut,Carbendazim 12 Mancozeb 63 WP 2 gram  liter paani me spray kare
ROOT ROT IN GROUNDNUT,SPRAY RIDOMYL GOLD 25 GRAM PER 1 LITRE WATER TO CONTROL ROOT ROT IN GROUNDNUT
information about of wilt disease Control in groundnut crop,50 WP 2
Asking about Leaf eating caterpillar and Sucking pest control in Groundnut,:     :
Attack of  Wilt on groundnut,Drenching Bavistine 30gm 15 Lit of Water
TELL ME ROOT ROT CONTROL IN groundnut,1
thrips ground nut,spray microla  3 mili  confidor 050 mlliter
Ask about Varieties of summer  Groundnut crop,--- -  -
GROUNDNUT LEAF SPOT CONTROL,RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS  ACRE
YELLOWING OF HROUNDNUT,USE OF ZINC SULPHATE
information groundnet,kisan bhai mugfali ki varaities avtar dx 86 kibuai kar sakte hai
termit problem in ground nut,CHLOROPYRIPHOS 20 EC  15 LITER  ACREVAIVERIYAA VAISIYANA  1 KILO  ACRE
how to control  Late leaf spot,spray Mancozeb  or Chlorothalonil 2g litre of water
TELL ME LOW GROWTH IN GROUNDNUT,SPRAY OF MULTIPLAX MICRONUTRIENT 4 GM PER LITER WATER
LEAVES ARE YELLOWISH IN GROUNDNUT,SPRAY FERASH SULPHET 4 GML WATRE
ASKED ABOUT TO FERTILIZER IN,DAP 3-4 ML
tell me about pest control in groundnut crop,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
TELL ME ABOUT INSECT CONTROL IN  GROUNDNUT,--      178   1
groundnut ka tikka rog,zinc magnise carbamate 2kgha
TELL ME RATE FO SARASO,JODHPUR GRAIN  GOWAR 5800
planting of grnut,planting of grnut-January-february
TELL ME CONTROL OF ROOT ROT IN GNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
TELL ME CONTROL OF WHITE GRUB  IN BAJRA,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
top Fertilizer management for groundnut,recommended for apply Gypsum 150kgborax 4kgac
ASKED ABOUT TO INSECT CONTROL IN,5  25
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT CROP,50   5   1
leaf spot in groundnut,spray Chlorothalonil 2 g  lit of water
caterpillar on groundnut,caterpillar on groundnut  - cloropayrifos 30 ml 15 liter water spray
TELL ME INSECT CONTROL OF GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
mungfali ki jankari,kisan bhai- mungfali ki prajati- amber kausal prakash taip64
ask about groundnut variety,-  -
TELL ME ABOUT OF BLACK ROOTH IN GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
ROOT ROT IN GROUND NUT,RECOMMENDED TO SPRAY CARBENDAZIM   200  GM   ACRE
LEAF CUTTER PILLAR,CHLOROPYRIPHOUS 2ML LIT
FARMER ASKED ABOUT HERBICIDE SPARY ON GROUNDNUT,--
TELL ME ROOT PROBLEM OF GROUNDNUT,CALSIUM PHASFATE 5 KG  BIGHA
poudha pila pad ke such rha hai,carbendzim  mancozeb ka pryog kare
Information about control of leaf eating caterpillar in Groundnut  crop,75   1
ground nut root rot management,RECOMMENDED TO drench  CARBENDAZIM 1 gm   or  mancozeb 3 gm  lit of water
white grub control in g nut,apply cartap hydrochloride  75 kilo  acre
weedicide for  groundnut,weedicide for  groundnut : persuit
Asked about Plant protection in   Groundnut,Recommended to spray Carbendazim 1 g  1 litre of water
TELL ME PEST CONTROL OF GROUNDNUT,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER
ask about variety of gnut,I suggested GG 2 GG 5 suitable for sowing
Farmer asked fungus in root control information of   Ground nut,WP
caterpillar in ground nut,Emamectin benzoate 5 SE 05 glt
TELL ME CONTROL BLACK ROOT GROUNDNUT CROP,USE TRICHODERMA 25 KG PER 100 KG FYM
Ask about growth problem in  groundnut crop,WP -
FARMER ASKED ABOUT SUCKING PEST ATTACK ON GROUNDNUT,-       -
Organic foliar spray application in groundnut,Recommended for spray humic acid 3 ml  1 litre of water
ask about yellow leaf control in groundnut,-
Leaf miner management in Groundnut,Recommended for spray Dimethoate-2ml  neem oil-3ml sticking agent-05ml1 litre of water
FERROS DEFICENCY IN GNUT,FERROS SULPHATE 40 GRAM IN 15 LIT WATER
asked about attack of rust on groundnut,Spray Cabriotop 7 gm15 Liter of Water-metiram dithiocarbamateBasf
Farmer asked query on Weather,32          14
LEAF CUTTING INSECT CONTROL,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
sowing season for groundnut,recommended sowing season for groundnut oct-nov
Asked about VAM Vesicular Arbuscular Mycorrhizae dosage related detail,VAM  4 50      50
ask about weed in ground nut,I suggested to hand weeding for control weed in ground nut
Gram pod borer in groundnut crop,Dear farmer use to Monocrotophos 36 SL 2mlliter water splash in the field
Farmer asked Fall Armyworm problem in crop,SC
semilooper in ground nut leaf,spray Quinalphos 2 ml 1 liter water
FARMER ASKED ABOUT ATTACK OF LEAF EATING CATERPILLAR ON GROUNDNUT,- 30   15
Top dressing fertilizer application of Groundnut,Recommended for apply Urea-25 kg  Neem cake -10 kgacre
ask for  fertilizer information,suggest:ammonium sulphate fertilizer
Tobacco caterpillar in groundnut,Recommended for spray Diflubenzuron 2ml  lit
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,-- 5     2-3
JASSID,DIMITHOATE 2 MLLIT
groundnut nutrient management,Recommended for spray TNAU Groundnut rich 220kg  ac
Insect control in Groundnut,Kisan bhai aap Monocrotophos 36  EC  15 ml litre pani ka upyog kare
tell me insect control in groundnut,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
COLLAR ROT IN GROUND NUT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  2G1 LIT WATER FOR COLLAR ROT IN GROUND NUT
APHID PEST IN GROUNDNUT,RECOMMENDED FOR SPRAY DIMETHOATEROGOR 2ML LIT WATER FOR CONTROL OF APHID PEST IN GROUNDNUT
ground seed treatment,65 korabaan
Information regarding how to seed treatment in mungphali,Information regarding how to seed treatment in mungphali use of thiram 3 gmkg seed
RUST IN GROUNDNUT,RECOMENDED DOSE OF MANCOZEB 2GM1LIT WATER SPRAY
TELL ME TWERMITE CONTROL IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
maungfali ki patti peele pad rahi hai,Apply MANCHOJEB  2 Grm  Lt of water
varieties of groundnut,SB-11 TAG-24 phule unap
TELL ME WEATHER INFORMATION,NO  RAIN MAY BE IN NEXT 2-3 DAYS
Asking about top fertilizer management for groundnut,Recommended for apply urea 6 kg  potash 12 kg ac on 25th day after sowing
Asked about nutrient management in groundnut,:  50     :
Farmer asked about weed control information in Groundnut crop,165   -  8  -
TOBACCO CATERPILLER IN GROUNDNUT,RECOMMANED TO SPRAY QUINOLPHAS 400 MLACRE
FERTILIZER DOES FOR GROUNDNUT,FERTILIZER DOES FOR GROUNDNUT IS 1 BAG DAP  10 KG MICRONUTRIENTS  10 KG GRANULE HUMIC ACID  ACRE
Ask about fungus Control in groudnut,WP -
seed treatment in groundnut,treat with rhizobium 150g per acre
Farmer wants to know information about seed treatment of Groundnut crop,3       70 wg 3           5        I
Asked about groundnut TNAU foliar application,:      :         2  200
PLANT PROTECTION,CHLOROPYRIPHOS 2MLL OF WATERCARBENDIZIUM C1GML OF WATER
varities,tag-24 fule unnati
mungfali me khad ki matra bataia,50 kilo hac dale
Farmer asked query on Weather,:    -       : :           36  C    25 C     7
Asking about rat management for paddy field,:       : :                  2    - 95    2   1
PEST,DIMETHIOATE 1 5ML 1LITER
Farmer asked  white grub Problem in crop,GR
Farmer asked Tikka  control information of in Groundnut crop,wp
varitities,TAG-24 NARAYANI ARE SOME VARITIES
Ask about Flowering and quality fertilizer of Groundnut crop,--
TELL ME LEAF BLIGHT IN GROUNDNUT,12   63    2
TELL ME ROOT ROT CONTROL IN  GROUNDNUT CROP,-- 1
tell me weather informetion of badmer,no rainfall next five days of barmer
groundnut leafspot,groundnut leafspot:RECOMMENDED TO SPRAY HEXACONAZOLECONTAF ANVIL  400 ML PER ACRE
Farmer needs information regarding How to control of fungal attack in   crop Control of Scab Early  Late Blight Dieback Buck Eye rot Downy mildew Leaf  fruit spots of crop,Recommended for control of fungal attack spray carbandazim  mancozeb 40gmpump and streptocyclin 2 gram at 15 liter of water
Asking about Suitable groundnut varieties to tolerate this summer,:       :   -     -ADT  5
root rot in ground nut,recommended for blitox 3grmslt water
Asking about Tobacco caterpillar and leaf miner management in groundnut,:          :                  28 C     11
Farmer asked query on seed treatment in groundnut,Recommended to do with tebuconazole imidacloprid Trichoderma viridi
Information regarding how much calcium to use in groundnut crop,4  5
Attack of White Fly in groundnut,Attack of White Fly in groundnut: Spray Marker 30 ml 15 liters of water DHANUKA
Farmer asked termitewhite grub control information of groundnut crop,EC       350
asking phos fertilizer doses at basal in gnut,i suggest to 50 kg narmada phose per ha
UPCHAR IN GROUNDNUT,RIZOBIUM CULTURE
Fertilizer requirement for Groundnut,Recommended to apply DAP-35 kg Urea-4 kg and MOP-27 kg per acre of land for Groundnut
GROUND NUT TOBACCO CATTER PILLER,RECOMMENDED TO SPRAY SPINOSADTRACER SPINTER  CHARGE   75 ML  PER ACRE
LEAF EATING CATER PILLAR,CHLOROPYRIPHOS 2MLLTR
Farmer asked seed treatment of fungus problem in groundut crop,WP
TELL ME SOWING TIME OF GROUNDNUT,SOWING TIME OF GROUNDNUT  JUNE-JULY
Ask about fungus problem in Rootin ground nut crop,:
Asked about plant protection in ground nut soft rot,Kavach Chlorothalonil 75 WP spray kavach at the rate of 1gram per litre of water or propiconazole at the rate of 1gram per litre of water
ALTERNARIA LEAF DISEASE IN GROUND NUT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  2G 1LIT WATER FOR ALTERNARIA LEAF DISEASE IN GROUND NUT
GROWTH IN GNUT,SULFER 80 3 GRAMLITAR
ask for gnut wilt,suggest:bavistin 30 gmpump
ground nut tobacco  caterpillar management,recommended for spray Indoxacarb 1 ml  lit of water
weedicide in groundnut,use persuit
Asked about application of Potash for groundnut,:       :
TELL ME DISEASE CONTROL IN GROUNDNUT,USE TRICHODERMA 25 KG PER 100 KG FYM
pod rot in groundnut,pod rot in groundnut-spray saaf-2gmlit of water
SEED UPCHAR IN GROUNDNUT,25 KABANDAZIM 4 GRAM IMIDACLOROPRID  20 GRAM RIZOBIUM CULTURE PAE KG SEED
Gram pod borer in groundnut,Recommended for spray Imidacloprid 2mllit of water
TELL ME SOIL TREATMENT FOR CONTROL OF ROOT ROT  DISEASE IN PEANUT,USE TRICHODERMA 25 KG PER 100 KG FYM
aphids in ground nut,aphids in ground nut-spray thiomethoxam-5gm15lit of water
MOONGFALI KI JADE KALI PAR RAHI HAI,Dear farmer use to Carbendazim 12 Mancozeb 63 WP 2gliter PANI ME MILAAKE   PODHE KI JADO DRENCHING KARE
TELL ME YELLOWING LEAF CONTROLIN GROUNDNUT,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
Asked about if we mixed organic manures with  inorganic manures,:      :  50
groundnut groth nahi kar raha he,sari gober ki khad eme micronutrients milakar khet me dalo
paddy nursery fertilizer management,Recommended for apply gypsum 4kg  cent
TELL ME ROOT ROT CONTROL IN GROUNDNUT,SPRAY OF HEXACONAZOLE 5 EC 2 ML PER LITER WATER
Farmer wants to know about how to control of insect sucking pest in Groundnut crop,--            178     7
block spots in ground nut leaves,recomended for mancozeb 400g acre
asked about availability of kadiri lepakshi variety of ground nut,recommended to contact mandal agriculture officer
asked fert dose in gnut,fert dose in gnut - apply d a p - 1 bag  urea half bag  acre at the time of sowing
ASK ABOUT GENERAL INFORMATION,Suggested : All information provided -  Thanks for calling in kisaan call center
TIKKA LEAF SPOT MANAGEMENT,RECOMMENDED TO SPRAY PROPICONAZOLE 200 MLACRE
CONTROL OF STEM ROT IN GROUND NUT,SPRAY COPPER OXYCHLORIDE 50 WP   4 GM  LIT OF WATER
Ask about nano urea information in groundnut crop,30
Farmer asked fungus control information ofgroundnut,EC        -
TELL ME CUT WORM CONTROL IN  GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
Asking about Groundnut Sowing in standing groundnut field,:      :     15
Termite in groundnut,Recommended to apply Dust chlorpyriphos  12 kgacre in soil before sowing
groundnut basal fertilizer management,apply groundnut basal fertilizer  50 DAP ac
TELL ME ABOUT VERITY IN GROUNDNUT,GG-20
ground nut leaf eating caterpillar,RECOMMENDED TO SPRAY NOVALURANINDOXICARB  350 ML  ACRE
TELL ME CONTROL OF TERMIT IN GROUNDNUT CROP,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
Farmer needs information regarding herbicide in soybean crop,I              I
Asking about groundnut leaf eating caterpillar management,recommended for the spray  : chloripiriphose  2 ml lit of water
SEED TREATMENT,SEED TREATMENT  - TRICODARMA  RIZOBEAM 250 GM 10 KG SEED
Farmer asked query on Weather,36       10
gnut fertuilizer information,12 kg  dap vigha
Ask about larvae control information,Suggested: Cypermethrin 25EC 20  mlpump spray
Asking about Leaf spot control in Groundnut,:      :  2
FERTILIZER DOSE IN GROUNDNUT,FERTILIZER DOSE IN GROUNDNUT : APPLY DAP 35 KG  UREA 5 KG  POTASH 25 KG PER ACRE AS BASAL DOSE
Farmer asked query on Weather,Weather forecast in Mayurbhanj district at Sulipada block - There is possibilities of no rainfall for next five days with partly cloudy weather Tomorrows expected maximum temperature is 37C and minimum temperature of 24C and wind speed is likely to run at 7 kmh
fertilizer dose,2 bag dap
please give me weather information,kisan bhai apke kshetra es saptah 26-30 September tak  barish ki koi sanbhavna nahi hai
Farmer asked query on Weather,:                   38      -        16
Farmer asked query on Weather,:              :         -                    - 32C   -  24C       6
ROOT ROT IN GROUNDNUT,SPRAY STREPTOCYCLINE  2GM  COPPER OXYCHLORIDE  45GM15LIT WATER FOR ROOT ROT IN GROUNDNUT
cate pillar,blitox 3gliter tracer 75gacre
caterpillar in groundnut,recommended for spray Indoxacarb 1ml lit
MOsaic,spray imidachloprid 1 ml  lit
TERMITE CONTROL IN GROUNDNUT,RECOMMENDED TO DRENCH CHLORPYRIPHOS 2ML1 LITER OF WATER
TELL ME THRIPS IN GROUNDNUT,SPRAY OF FIPROLIN 5  2 LITER PER HA
Farmer asked query on Weather,Weather forecast in  Puri District at Kanas  Block   There is possibility of very light to no rain fall with in next 5 days and sky will be partly cloud for these days
soil testing,solapur  market yard yethe tapasun milel  draksh bhavan office
TELL ME ROOT ROT CONTROL IN,1                   178   1
asked about thrips management in groundnut,:      :  2  1
Asked about white grub management in groundnut,:    :       20
VARITIES OF GROUNDNUT,VARITIES OF GROUNDNUT - TAG-24 FULE UNNATI
Ask about seed treatments of fungus Problem,10 kg seeds
TELL ME WEATHERR EPORT IN GANGANGAR,LIGHT RAIN MAY BE AFTER 2-3 DAYS
Information regarding control of fungal disease in groundnut,--       800     15
TELL ME VARITIUES OF GROUNDNUT,VARITIUES OF GROUNDNUT-M-13
FERTILIZER IN GRIOUNDNUT,BASAL DOSE - AMMONIUM SULPHATE  80KG  SSP 150KG
INFORMATION REGARDING FERTILIZER DOSE IN GROUNDNUT,1   15
TELL ME INSECT CONTROL IN GRANDNUT,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
Ask about fungus control information in root of groundnut,EC        -
Asked about Erode today weather Report,Recommended for Erode today weather Report : very Light Rain fall 01  24 mm
WILT ATTACK IN GROUNDNUT,-   -       WP -
LEAVES ARE YELLOWISH IN GROUNDNUT CROP,SPRAY FERAS SULPHET 5 GML WATER
TERMITE IN GROUNDNUT PLANT,RECOMMENDED TO APPLY CHLOROPYRIPHOS DUST 8KG  1 ACRE
weed management in groundnut,recommended to apply targa super 2 gram in 1 litre of water spray
White Fly Attack,Spray Actra 5 gm15 Lit of Water
insects in ground nut,RECOMMENDED melathion 8 kg per lit
Farmer asked about larval problem in g nut crop,SC 7-8
tell memtikka control in GROUNDNUT,SPRAY OF MENCOZEB 2 GM PER LITER WATER
Asking about root rot management in groundnut,:     : :  6    12    25
Ask about Insect Problems in ground nut,ZC
groundnut spacing,groundnut spacing -30x10 cm
TERMOITES IN GROUNDNUT,TERMOITES IN GROUNDNUTSPRAY CLORIPYRIPHUS  2 ML PER 1 LTR WATER
ATTACK OF TIKKA  APHIDS---,Spray Rogar 15ml15 Lit of Water
TELL ME NUTRENT MENGMENT IN GROUNDNUT,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
TELL ME INSECT CONTROL,SPRAY OF IMIDACHLOPRID 178 SL  05 ML PER LITER WATER
TERMITES IN GROUND NUT,--RECOMMENDED TO SPRAY CHLOROPYRIPHOS 2 ML IN 1 LITRE OF WATER FOR TERMITES IN GROUND NUT
FARMER ASKED ABOUT FERTILIZER DOSES FOR GROUNDNUT CROP,- ::
Asking about leaf spot management in groundnut,--:     :      2
ground nut varieties,ground nut varieties  :vemana kadhiri-56   greshma
COLLAR ROT MANAGEMENT - GROUNDNUT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE 3 GRAMS PER LITRE WATER
TELL ME ABOUT DISEASE IN GROUNDNUT,SPRAY OFN RIDOMIL  2 MLLITER WATER
Groundnut top dressing,Recommended for apply Gypsum 75 Kg acre
Asking about Kadiri 1812 groundnut variety information,:Kadiri 1812      :
GROUND LEAF EATING CATER Pillar management,RECOMMENDED TO DRENCH CHLORPYRIFOS 6 ML1 LITRE  OF WATER
pre emergent herbicide in groundnut,spray pendimethalin 4 ml in 1 litre water as pre emergent herbicide in groundnut
groundnut,pursuit or targasuper
Information about Groundnut crop was sown on 12th July weeds have been used just 10 days ago weeds have not been destroyed,2  3
Plant protection of ground nut,Spray Mancozeb 75 WP  2 gramlitre of water
groundnut varieties,groundnut varieties -fule pragati  kopargav 1
Asking about Rust in groundnut,Recommended for spray Chlorothalonil 2 gm  lit
TELL ME GROUND NUT ME COOLER ROOT KI PROBLEM,TRICODERMA KA USE KERY
mung phalli ki jar kali ho rhi hai,kisan bhai  Copper Oxychloride 50 WP 2 gramliter pani ki dar se sprey kre
PLANT PROTECTION,Aphids Due to sucking the sap curling of leaves and development of sooty mold Spray Dimethoate 30 EC  17 mllit water
TELL ME CONTROL OF WHITE GURB,USE CLOROPAYRIPHOS 20 EC 1 LTR BIGHA WHEN IRRIGATION
Farmer asked query on Weather,:    -     : :            37  C    26 C     6
Asking about Tobacco caterpillar management in groundnut,:    :
Fungal problem yellowing of leaves,Spray copper oxycloride  2 gram in 1 litre of water
Attack of Tikka on Groundnut,-30
TELL ME WHITE GURB IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE
Asked about nutrient management  in groundnut,suggested to spray samruddi 3 g per liter of water
sucking pest in groundnut,Recommended for spray imidacloprid 05 mllit of water
ask about white grub problem,suggestrd chloropyriphose 25 ml per pump
Asked about Groundnut rich using quantity for Groundnut,:        :      TNAU   2  200
TELL ME INSECT CONTROL,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE
Asking about Root rot management in groundnut,:     : :     1  20
ABOUT THE LEAF CURL IN GROUNDNUT,RECOMONDED FOR CONTROL LEAF CURL IN GROUNDNUT TO SPRAY MONOCHROTOPUS 16MILLILITERSLITERWATER
weed management in ground nut,hath se nirai gudai karke kharpatwaar nikaale
ask for gnut leaf spot,suggest:Hexaconazole 10 ml  10 lit water
farmer asked query on dosage of calcium nitrate in ground nut crop,RECOMMENDED TO APPLY CALCIUM NITRATECN- 25- 50 KGACRE
Information about weather,Kisan bhai aapke shetra  mein 16 june ko bunda baandi ki sambhavna hai
Asking about Groundnut seed dormancy period information,:     :  45
ask for weedicide in standing crop,suggest:no use any weedicide in standing crop
asked about gnut varieties,- -  -      -    -  -  -     -
Caterpillar Attack-,Sprey Profex Super 30 ml  15 lit of water
Ground nut dry root control,Recommended for drenching with carbendazim 2 g  lit of water
GROUND NUT FERTILIZER MANAGEMENT,200                45
farmer want to know information about varieties of  groundnut,recommended for varieties of  jeji en-3jejien-23tiji-37
water management in ground nut,15 -20
Attack of Caterpillar ON GROUND NUT,Spray Proclaim 07 gm15 liter of WaterEmamectin BenzoateSyngenta
asking about Leaf caterpillar and Thrips management in Groundnut,:        :   1 5     1    1
fertiliser dose of groundnut,apply 65 kg superphosphate acre
TELL ME CONTROL OF ROOT ROT IN GROUND NUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
tell me thio urea dose in groundnut crop,spray thio urea 8gm tanki
WEED CONTROL IN GROUNDNUT,APPLY TARGASUPER 2 ML PER LITRE WATER
season,november
asked about grount nut tobboco caterpiller,recommeneded spraying chlorophyriphos 25 mllit
Asking about Tobacco caterpillar management in groundnut,recommended for the spray  : profenophose  2 ml lit of water
Asking about Stem rot and pod rot management for Groundnut,:     :
TELL ME TERMITE OR WHITE GRUB CONTROL,USE QUINOLFOS 5 G 25 KG PER HA IN SOIL FOR CONTROL OF WHITE GRUB IN GROUNDNUT
Ask about INFORMATION IN  ground nut,100
asking about sowing season for groundnut,recommended sowing season for groundnut PurattasipattamSep- OctTMV 7 VRI 2 VRIGn 6TMVGn 13
GROUNDNUT LEAF SPOT MANAGEMENT,GROUNDNUT LEAF SPOT MANAGEMENT : RECOMMENDED FOR SPRAY CARBENDIZAM  MANCOZEB SAAFF2 GRAMS 1 LITER OF WATER
asking about fertiliser in groundnut,i have suggehst fertiliser ammoniya
WEED MANAGEMNT IN BEFIRE SOWING GROUND NUT,RECOMMENDED TO SPRAY GLYPHOSATE ZOOMERGLYCEL ROUNDUP 2 LITRES UREA 2 KGS 200 LITRES OF WATER PER ACRE
Insect control in Groundnut,Kisan bhai aap Imidacloprid 178 SL  2 ml  litre pani ka ghol banakr chirkaav kare
ASKED ABOUT TO  INSECT CONTROL IN PEANUT,25   4
root gurb,RECOMMENDED TO pour CHLORIPYRIPHOS 6 mlli water
Information about  seed rate of groundnut,28-30
groundnut pest,spray carboryl 4glt of water
