QueryText,KccAns
TELL ME NUTRIENT MANAGEMENT  IN  GROUNDNUT,33 5   10
APHID ATTACK IN GROUNDNUT,RECOMMENDED SPRAY TATAMIDA 1ML3LTR WATER FOR APHID ATTACK IN GROUNDNUT
Asking about weather information,possibility of lightly rainfall on next six days
GROUND NUT SEEDRATE---,GROUND NUT SEEDRATE--- 35 - 40 KGACRE
ask for termite control in g nut,I suggested to give cloropyriphos 3 litre per hectare
groundnut variety,groundnut variety--western -55
WEED CONTROL IN GNUT,SPRAY TRAGASUPER 2ML1 LITER OF WATER
ASKED ABOUT SUCKING PEST ATTACK ON GROUNDNUT,-  10
Asking about Tobacco caterpillar management in groundnut,Recommended for spray profenophos 2 mllit of water
ASKING ABOUT GROUNDNUT CUTWORM MANAGEMENT,GROUNDNUT CUTWORM MANAGEMENT  SPRAY FLUBENDIAMIDE 05GML OF WATER
Thrips attack in groundnut,Recommended for spray Fipronil 5  SC 15 mllit of water
ROT IN GROUNDNUT,ROT IN GROUNDNUT-APPLY SAAF 2GRAM IN 1LIT WATER
leaf eating cater piller in groundnut,recommanded for larvin 300 mlac
TELL ME CONTROL OF WHITE GROUB IN GROUNDNUT X,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
ground nut wilt,Advised to drench the plant base with COC 3 g per lit of water
CALL AFTER KNOWING THE MEDICINE USED IN GROUNDNUT,CALL AFTER KNOWING THE MEDICINE USED IN GROUNDNUT
Asked about Groundnut leaf caterpillar  sucking pest  management,:        :  - 15
TELL ME NUTRIENT MANAGEMANT IN  GROUNDNUT,SPRAY OF ZINK SULPHATE  5 GRAM UREA 10 GRAM PER LITER WATER
TELL ME ABOUT TERMITE CONTROL IN GROUNDNUT,USE IMIDACHLOPRIED 178 SL 1 LITTERHAC WITH IRRIGATION
larvae  sucking pests,Suggested: profenofos 40  cypermethrin 4 mix available in market 15 mlpump spray
Farmer want to know information about how to control caterpillar in Groundnut,Recommended for to control caterpillar in arhar  spray to Emamectin benzoate 5  7-8 grampump
Asking fertiliser in ground nut,Advise 125-25kgNPha
PREEMERGENCE WEEDICIDE IN GROUNDNUT,RECOMMENDED APPLY OXYFLUROFEN 235EC JARGON OR OXYGOLD 80MLACRE AS PREEMERGENCE WEEDICIDE IN GROUNDNUT
root grubs control in groundnut,recommended application of cabofuran 3G granules  acre
TELL ME LEAF HOPPER IN GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
HELICOVERPA DAMAGE IN GROUND NUT,RECOMMENDEDTO SPRAY SPINOSAD 75 MLACRE SPRINTER  TRACER
TELL ME INSECT CONTROL  IN GROUNDNUT,1   3
vareity of groundnut,M 13 TG 39 CHITRA
TELL ME WHITE GRUB OF GROUNDNUT,SPARY OF KARBOFURAN 4 KGBHIGA
Asking about groundnut leaf caterpillar managment,:        2
whitefly in groundnut,recommended for spray triazophos 2glit
Asked about plant protection in  groundnut,suggested to spray LAMBDA CYHLOTHRIN 2ML PER LITRE OF WATER
Attack of White Fly,Spray Ullala 8 gm15 Lit of Water Flonicamid 50 WG UPL
groundnut leaf eatter,groundnut leaf eaterspray chloropyrifos 2mllt of water or carboryl 4gmlt of water
Asking about  foliar nutrient spray for groundnut,Recommended for spray DAP 2 kg acre at flowering stage
ASKED ABOUT TO BLACK LEAVES  DISEASE CONTROL IN GROUNDNUT,75   45   2
VARITIES OF GROUND NUT,YOU CAN SOWING JL-501TPG 41 THIS IS A GROUNDNUT VARITIES
Groundnut top dressing fertilizer management,recommended for the fertilizers : urea  5 kg potash  12 kg gypsum  75 kg acre
TELL ME ABOUT LEAF BLIGHTE CONTROL IN GROUNDNUT,-- 12   63    2
ground nut sulfer deficency,recommended to spray of magnesium sulphate 10 grams per litre
fertilzer,boomflower 05234
catterpiller,profexsuper
karapa,Spray Tilt  score  kavach 30gm15lit of Water
Asking about Leaf caterpillar management in groundnut,Recommended for spray chlorpyriphos 2 ml  neem oil 3 ml  sticking agent 1 ml  litre of water
Ask for groundnut fungus,To drenching 20 gram carbendazim per pump
fertilizer dose,fertilizer dose  -100 kilo gypsumaker
Asked about nutrient management  in ground nut,Suggested that spray samrudhi micro nutrient 4 g per liter of water
spray for flowering of groundnut,spray for flowering of groundnut Spray Boom flower 20ml15lit of Water
ASKED ABOUT TO DISEASE CONTROL IN groundnut,12   63    2
Farmer asked about varieties of groundnut,:- -  -    - --  -       -
ask for groundnut  thrips information,suggest: spray  dimethoate 20mlpump
Information about weather,Kisan bhai aapke shetra mein 29 june se 3 july mein barish ki sambhavna hai
Asking about Should irrigate the field before spraying Groundnut rich,: TNAU           :TNAU
LEAF SPOT IN GROUNDNUT,RECOMMENDED TO SPRAY RIDOMIL 25GM1 LITER OF WATER
Asked about plant protection in Groundnut,Suggested to spray Carbendazim 50 WP Bavistin 50WP  2 g per ltr
TEEL ME DISEASE CONTROL IN GROUNDNUT,TELL ME DISEASE CONTROL IN CUMINSPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
FARMER NEED INFORMATION SEED TREATMENT OF GROUNDNUT,-
topdressing fertiliser for groundnut,apply 150kg gypsumacre
Farmer asked seed treatment of white grub control in Ground nut crop,WDG -       Dentotsu Sumitomo
asked about varities of gropundnut,varities of groundnut : tag 24 jl-24 phule unap
ASKED ABOUT ATTACK OF ATTACK OF WHITE GRUB ON GROUNDNUT,Drenching of Chloropyriphos 40 ml  15 lit of water
groundnut weed management,recommended to spray pendimethalin 1literacre
weedicide ghol li he paani basne laga use kal tak rakh sakte he,ji baaris ho rahi he to weedicide ka prayog na kare
How to control white fly in groundnut crop,Spray Daiphenthuran Pegasas 10 to 15 gram at per pump
Root rot in groundnut,Recommended for apply Pseudomonas fluorescens 1kg  FYM 20kg  ac
FARMER ASKED ABOUT FERTILIZER DOSE IN GROUND NUT CROP,::
GROUND NUT STEM ROT AND POD ROT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600 GRAMS PER ACRE
Ask about blank pod in problem information in ground nut Crop,100
FARMER ASKED ABOUT GROUNDNUT CROP,-    8   15
CHARCOL IN GROUNDNUT,BAVAISTIN 250 GRAM PER BHIGA
Ask about weed control information,Suggested: Pendimethalin 30 EC  35mlpump spray
TELL ME ABOUT WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 2 DAYS BUT CLOUDY SKY
Asking about  groundnut top dressing fertilizer management,Recommended for apply gypsum 150kg  Borax 4 kg  acre
Seed treatment in groundnut crop,Recommended for Use bavastim or vita vex power 2-250 gm per kg of seed
FARMER ASKED ABOUT SB-11 GROUNDNUT VARIETY Feature,-11   - - - -    -    -      --
Ask about larvae control informa,tionSuggested: Cypermethrin 10EC 15 mlpump spray
Groundnut basal fertilizer,Recommended for apply FYM 5 t DAP 50 kg  potash 15 kg acre
swoing time of Ground nut,Farmers March to sowing groundnut
TELL ME WHITE CRUB IN BAJRA,USED CARTAP 2KG  BIGHA
rotting,coc 3gltr
Ask about summer cultivation  variety information in Groundnut crop,-                -
TELL ME ROOT ROT DISEASE CONTROL IN GROUNDNUT,HEXAKONAJOL 1 MLLITTER SPRAY
Asking about Tobacco caterpillar management in groundnut,:     : :  6    12   4
information regarding to fungal in groundnut,fungal in groundnut - 800 gm bavistin  15 kg ret per care
farmer asked query on nutrient management in groundnut,RECOMMENDED TO SPRAY AGROMINMAX   3 GRAMS1 LITER OF WATER600GMACRE
SEED TREATMENT,:-
TELL ME GROWTH  GROUNDNUT,SPRAY OF THIOUREA 05 GM PER LITER WATER
weather report,information provided
Ask about spacing,45 X 15 Cm
early kharif seed varieties of groundnut,- :-7-8
Groundnut-White Grub,Thimet 5 kilo
Asking about Tobacco caterpillar management in groundnut,:     : : 10       4
WHITE GRUB CONTROL IN GROUNDNUT,USE QUNOLPHOS 25 EC  1 LITER BIGHA WITH IRRIGATION
Farmer asked query on Weather,:                                -
Farmer asked fertilizer dose in groundnut crop,8  10
ASKED ABOUT TO NUTRIENT MANAGEMENT,4
Asked about Groundnut Girnar 5 yield information,:   5    : 32
TELL ME PLANT PROCTION IN GROUNDUTE,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
weed management in groundnut,weed management in groundnut-spray targa super 2mllit water
mosaic in groundnut,spray dimethoate 2 mllit
TELL ME MANDI RATE OF MOONG IN,JODHPUR GRAIN  MOONG LOCAL 7000 RSQT
pegging stage in ground nut,recomended zypsum 200kgacre
FERTILIZER DOSE FOR GROUNDNUT,APPLY SUPER PHOSPHATE 4 BAG PER ACRE FOR GROUNDNUT
TELL ME START MESSAGE SERVICE,ESSAGE SERVICE HAS BEEN START
For quality fruiting in groundnut,Recommended to spray Fantac plus 1ml in 2 litres water for quality fruiting in groundnut
SEED TREATMENT IN GROUNDNUT,RECOMMENDED TO SEED TREATMENT CHLORPYRIFOS 65MLROOT  GRUBS 1 KG OF SEEDS
asking about groundnut top dressing fertilizers,recommended for apply gypsum- 75 kg acre
Ask about Plant Growth Retardant Information of groundnut,SL
groundnut sucking  pest,confider  or neem oil spray
Asking about groundnut top dressing fertilizer management,Recommended for apply gypsum 100kg  acre
ASKING ABOUT CONTROL OF LEAF BLIGHT IN GROUNDNUT,SPRAY  CARBENDAZIM 50 WP  1 GM   LIT OF WATER
ask about sucking pest in ground nut,I suggested to spray dimethoat 15 mlpump for  sucking pest in ground nut
ASKED ABOUT TO DISEASE CONTROL IN GROUNDNUT CROP,50  250
ASKING ABOUT NUTRIENT MANAGEMENT OF GROUNDNUT,SPRAY GRADE-2    2-3 GM  ML  LITER OF WATER
SEED RATE IN GNUT,80-100 KG SEED HA
Farmer asked Aphid problem in Groundnut crop,SC
control of white grub,application of thimate  acre
Farmer asked query on Weather,32       16
Asked about kadiri leepakshi 1812 variety suitable for tamilnadu,:    1812  :
root rot in groundnut,Recommended for soil drench with carbendazim 2 gmlit of water
TIKKA DISEASE IN GROUNDNUT,RECOMMENDED SPRAY MANCOZEB 4GMLTR WATER FOR TIKKA DISEASE IN GROUNDNUT
asked for fertilizer dose for groundnut,-
disease,saff 2 gm  liter
LEAF EATING CATERPILLAR,CHLOROPYRIPHOS 2ML1LTR WATER
ME WETELL ATHER INFORMATION,RAIN POSSIBILITY IN NEXT 5 DAYS
crown rot in ground nut,recommended to apply gypsum 200 kgsacre
INSECT CONTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GM PER BIGHA WITH IRRIGATION
TELL ME SEED RATE OF GROUNDNUT,2 GM BAVSTIN  4 ML CHLOROPYRIPHOS  20 GM RHIZOBIUM PER KG SEED TREATMENT
TELL ME LOW GROWTH OG GROUNDNUT,SPRAY OF MICRONUTRIENT 3 GM PER LITER WATER
WHITE GRUB CONTROL IN GROUNDNUT,USE QUINOLFOS 25  EC 4 LITHA WITH IRRIGATION
groundnut weed management,RECOMMENDED TO SPRAY IMAZITAPYR PURSUIT  400 ML PER ACRE
groundnut leaf spot,Recommended for spray Carbendazim 01 1 gram  1 litre of water
gnut fertilizer at 40 days,no requirnment
GROUNDNUT ROOT ROT,RECOMMENDED FOR SOIL DRENCH WITH CARBENDIZUM 1 GRAM OR MANCOZEB 25 GRAMS1 LITER OF WATER
Asked about GG -7 Groundnut variety information,: GG - 7     :
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN GROUND NUT,RECOMMENDED TO ZYPSUM 200 KG PER ACRE IN 40 DAYS OLD CROP OF GROUND NUT
Farmer asked query on Weather,3      4     11
FARMER ASKED ABOUT TO NUTRIENT MANAGEMENT IN GROUND NUT,130
Asked about  groundnut subsidy,contact Indi taluk Agriculture Department
Information about irrigation management in groundnut,20  25
asking about aphid management in groundnut,recommended for dimethoate 2 ml1 litre of water
asking about caterpillar and Aphids management in groundnut,:        :  4  10
Asking about top fertilizer management for groundnut,Recommended for apply urea 4 kg  potash 8 kg acre on 25th day after sowing
Asking about root rot in groundnut,:      :         20
GROUND NUT TOBACCO CATTER PILLER,RECOMMENDED TO SPRAY PROPINOPHOS CURECRON PROFEXDON BOLERO  400 ML PER ACRE
Information about yellow and white color in Groundnut and less tillering in Sugarcane crop,2
TELL ME DOSE OF FERTILIZER FOR GROUNDNUT,GIVE 375KG SSP  20KG UREA  HEC FOR GROUNDNUT
FARMER ASKED QUERY ABOUT SEED TREATMENT IN GROUNDNUT,MIX 3 GRAMS MANCOZEB AND 8 GRAMS TRICHODERMA VIRIDAE FOR 1 KG OF SEEDS
Farmer asked weed control in crop,-- 9  EC    -      -     -
TELL ME WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 3 DAYS
Asking about control Tobacco caterpillar leaf miner in groundnut,Recommended for spray profenophos 2ml neem oil 3ml teepol 1 ml  litre of water
asked about varieties of groundnut,varieties of groundnut- SB- 11  TAG-24
Asking about groundnut aphids management,recommended for the spray  :  dimethoate 2 ml lit of water
ASKING ABOUT WEATHER INFORMATION,CLEAR WEATHER TILL 21 SEPTEMBER
TELL ME ABOUT WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 3-4  DAYS AND CLOUDY SKY
Asking about Rat management,:    :                  2    - 95    2   1
Ask about white fly  information,Suggested: Acetamiprid 20 SP PrideEkka 5 grampump spray
Farmer asked  organic sucking pest control in crop,-
tikka leaf spot in ground nut,recommended mancozeb 3glit water
Asking about Groundnut foliar spray application,Recommended for spray TNAU Groundnut rich 2 kg  200 lit of water  acre
STEM ROT IN GROUNDNUT,RECOMMENDED TO SPRAY 3GM COPPER OXYCHLORIDE OR 2GM RIDOMIL-M-Z 2GM IN 1LTR WATER TO THE ROOT PORTION IN GROUNDNUT
THRIPS DAMAGE IN GROUND NUT,CONFIDAR 1MLLIT
Asking about weather forecast,Cloudy weather No rainfall chances today
kya mungfali me pani laga sakte hai,haa aap pani laga sakte hai
Ask about variety of ground nut crop,:-  :- -  -  -     :-  -  -  -
Farmer asked query on Weather,TODAY IT IS CLOUDY IN YOUR AREA AND THERE IS A POSSIBILITY OF RAIN
Asked about plant protection in Groudnut,Suggested to Spray mancozeb  2 gltr of water or chlorothalonil  2 g ltr of water  2      2
helicoverpa damage,monochrotophos 16 milli literliter water
micro nutrient availability ground nut,apply ground nut rich 2 kg ac
Asking about Foliar spray in Groundnut,:        :     TNAU   2   200
Yield of G5 variety of Groundnut,Yield of G5 variety of Groundnut: 11quintal per acre
Ask about yellowing leaves in groundnut,90 3
Asked about Aphids management in groundnut crop,:          : 2     1
Ask about sucking pest problem in groundnut,WP
how to control weed in groundnut,please apply hand weeding only
TELL ME VARITIES OF GROUNDNUT,3861
ALTERNARIA LEAF DISEASE IN GROUNDNUT,RECOMMENDED TO APPLY MANCOZEB 75WP 3GM1 LITRE WATER TO CONTROL ALTERNARIA LEAF DISEASE IN GROUNDNUT
Asking about groundnut adipattam season suitable varieties,TMV 7 VRI 2 VRIGn 6TMVGn 13
TELL ME DOSE OF GYPSUM FOR GROUNDNUT,GIVE 400GM GYPSUM PER HEC FOR GROUNDNUT
Farmer asked Sucking pests and Larvae problem in groundnut  crop,25- 40
gram pod borer in groundnut,Spray chloropyriphos 3ml  lit of water
FARMER ASKING ABOUT FERTILIZER DOSE FOR GROUNDNUT,- -
Asking about leaf folder and sucking pest in groundnut,:          : :       15
ground nut stem rot,kantaf plus 2 milli liter water
Asking about Tobacco caterpillar management in groundnut,:     :      2
TELL ME WEATHER INFORMETION,NO RAINFALL NEXT 5 DAYS
CATERPILLAR IN GROUND NUT,SPRAY DICHLOROVUS 2 ML IN ONE LITRE OF WATER FOR CATERPILLAR IN GROUND NUT
GROUNDNUT VARIETIES,RECOMMENDED VARIETIES OF  KADIRI-9KADIRI-6 ANANTHAHARITHDRA
LEAVES ARE YELLOWISH IN GROUNDNUT,SRAY FERAS SULHET 5 GML WATER
TELL ME BLACK ROT CONTROL IN GROUNDUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
asking about early leaf spot management in groundnut,Recommended for spray Mancozeb 2gram  litre of water
POD ROT MANAGEMENT IN GROUNDNUT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITER OF WATER
ASKING ABOUT SOIL TESTING OF GROUNDNUT FIELD,CONTACT WITH LOCAL OF BLOCK OFFICE- ADA AND KPS
ASKED ABOUT WEED MANAGEMENT IN GROUNDNUT,WEED MANAGEMENT IN GROUNDNUT -Spray Pursuit Imazethapyr 20 ml10 liter of water
Asking about Aphids management in groundnut,Recommended for spray imidacloprid 4 ml  sticking agent 5 ml 10 litre of water
Farmer asked Thrips problem in Groundnut,EC -
FARMER ASKED ABOUT THE CONTROL OF INSECT IN GROUNDNUT,25   4
WHITE GRUB IN GROUNDNUT,PHORATE 10 25 KG PER HA
leaf roller in groundnut,Recommended for spray CartapHydrochloride 50  SP 15 ml  litre
varieties of groundnut,varieties of groundnut-phule pragatikopargaon-1
ask for groundnut termite information,suggest: drenching with blue copper 25mlpump
asked about weed management in ground nut,weed management in ground nut:Pursuit
GROUND NUT IN RUSTWHITE FY,MANCOZEB 3 GRLITOBERAN 180 MLACR
FARMER ASKED ABOUT ATTACK OF EARLY LEAF SPOT ON GROUNDNUT CROP,:  2    1    1
--ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT CROP,25   4
DRY ROOT ROT IN GROUNDNUT MANAGEMENT,1
Farmer asked query on Weather,:             :          -                    - 31C   - 25C     8
root grub in groundnut,Recommended for apply carbofuran 3 to 5kgac
asking basal dose fertilizer gnut,I suggest 125kgNha  25kgPha in gnut
varieties,TAj 24   dhaftari
Provide information for the rescue of crops from Nilgai,5       25 ml
white grub in groundnut,kisan bhai mungfali me foret 10 G 8 KGACRE DE
YELLOW ROG IN GROUNDNUT,FERESH SALPHATE 5 GRAM PAR LITER WATER SPREY
TELL ME CONTROL TARMITE,USE OF CARTAP HYDROCHLORIDE 15 KG PER HA
WANT TO KNOW ABOUT VARITY OF GROUNDNUT,:    -  :
FARMER ASKED QUERY ON NUTRIENT  MANAGEMENT IN GROUNDNUT,RECOMMENDED TO APPLY CALCIUM NITRATECN- 1KGACRE200LIR OF WATER
ASK ABT SEED TREATMENT,Thiram or captam 3 gm  1 kg seed
Information regarding weather in NUH,Some clouds and chance of rain fall today
Farmer asked white fly control information of groundnut,SP
TELL ME DISEASE CONTROL IN MIIGFHALI,50   1
VARIETIES OF GROUNDNUT,- -  -      -    -  -  -    -
Flower increase in groundnut,Spray fantak plus  50 ml 100 liter
TELL ME WEATHER INFORMATION IN JHUNJHUNU,NO RAIN POSSIBILITY IN NEXT 5 DAYS
Asked about plant protection in  Groundnut,Suggested to harvest the plant after 15 days and not to spray anything
Asked about plant protection in groundnut,suggested to spray :- Profenophos  2mllit of water
TELL ME PEST  CONTROL IN GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
Attack of White Fly on Gnut,WG
Asking about foliar spray in groundnut information,:     : :     2  200
wilt in gnut,blue copper 60 gm per pump drenching
ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT  IN   GROUNDNUT,4 ML
Farmer asked query on Weather,:          :                20C - 33 C     8
asking about groundnut basal fertilizer management,recommended for the fertilizers  : DAP 50 Kg gypsum  75 kg acre
aphids and leaf folder management in groundnut,Recommended for spray Profenophos 2 ml  lit of water
white grub and green leaf catter piller in groundnut,Fipronil 03 GR  8
insect in groundnut,spray coloropairiphos 3mlliter water
Ask about jassid problem in groundnut,--
attack of aphid on groundnut,Spray Roger 15 ml15 Liter of WaterDimethoate-Cheminova
red spider mite  podborer in groundnut,recommended for spray spiromecifen 3ml10lit
ASKING ABOUT CONTROL OF PEST IN GROUNDNUT,APPLY   CARTAP HYDROCHLORIDE 4 G  2-25 KG BIGHA
TELL ME RAIN INFORMATION,NEXT FIVE DAYS NO RAIN FORCASTING ACCORDING TO IMD
fertiliser application in groundnut,35kg DAP 4kg urea 27kg potash per acre
TELL ME WHITE GRUB CONTROL IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION
Sucking Pest,Confidor super  Confidor 10ml15 Lit of Water
Farmer asked fungus in root control information of Groundnut,WP 35 -40
GROUND NUT FERTILIZER,RECOMENDED TO APPLY UREA 27 KGACRE AND ZIPSAM 200KGACRE
LEAF FOLDER MANAGEMENT IN GROUND NUT,RECOMMENDED TO SPRAY QUINOLPHOS  EKALUX  400 MLACRE 2 ML1 LTR OF WATER
groundnut seed treatment,Pseudomonas fluorescens  10 gram kg seed
Asked about plant protection in groundnut,Suggested to spray Quinalphos 25 EC at  2 ml per litre water
which herbicide use groundnut crop,you can spray parshut 30 mili pamp water use for groundnut crop
SPECIAL CROP SPECIAL PROBELM,150     15
TELL ME WHITE FLY CONTROL IN GROUNDNUT,25  05
FARMER ASKED QUERY ON  CAB BORAN BE APPLIED ON THE SAME DAY AFTER APPLYING GYPSUM,RECOMMENDED TO SPRAY BORAX 3 GR1 LITRE OF WATER NEXT DAY AFTER GYPSUM APPLICATON
ASKING ABOUT CONTROL OF ROOT ROT IN GROUND NUT,SPRAY  THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER
asking about groundnut seed storage information,Recommended for groundnut seed storage for 2 month crop
Information about Insect Problem in Groundnut Crop,03 GR 8-10
TELL ME ROOT ROT CONTROL IN Groundnut,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
ASKED ABOUT TO DISEASE CONTROL IN GROUDNUT,50  250       -
Early leaf spot management in groundnut,recommended for saaf 2 gram 1 litre of water
Asked about season and varieties of Groundnut,:         :       8   7  14  2
Asked about plant protection in groundnut,suggested that to spray dimethoate 2ml in one liter of water
varieties of groundnut,-  -  -    --     ------ -- -
asked about water management for  groundnut,-
Asking about how to increase Seed size in groundnut information,:      :  80    4
asked about sucking pest attack in g nut,sucking pest attack in g nut - spray super confidor 10 ml   15 lit water
asked about dosage of  zypsum,suggest to apply zypsum 200kgs
Hairy caterpillars management in groundnut,Recommended for spray Chlorpyriphos 2mllit of water
TELL ME ABOUT WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 5 DAY
TELL ME ABOUT DISEASE CONTROL IN GROUNDNUT CROP,75 2
mung phalli me kya khad dale,zaim 10 kg  acre dale
GROPUND NUT BORER,MONOCROTOPHOS 16 ML  AND  NEEM OIL  5 MLLT WATER
Ask about sucking pests problem in cropAphid groundnut,SL 7-8
ASKING ABOUT SOWING TIME OF GROUND NUT,SOWING TIME OF GROUND NUTMAY-JUNE
TELL ME APPLICATION OF FERTILIZER IN GROUNDNUT,APPLICATION OF FERTILIZER IN GROUNDNUT ZYPSUM 50 KG PER BIGHA
Weed control in groundnut crop,70
Information regarding reducing moisture after digging groundnut,-
TELL ME ABOUT INSECT CONTROL IN GROUNDNUT,--  4  GR  3-4
growth of the ground nut plant is not well,spreying microla  10 ml in 10 liter of waterr
ASKED ABOUT TO INSECT CONTROL IN  GROUNDNUT,5  SC   2
root rot management in groundnut,Recommended for soil application of Trichoderma viride 1 kg  20 kg sand  ac
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,20   40
variety of moong phali,variety of moong phali - mukta  prakash  chitra  amber
TELL ME ROOT ROT DISEASE CONTROL IN GROUNDNUT,CARBANDAJIM 250 GRABMBIGHA
TELL ME WEATHER FORECASTING,15 JUNE MAY BE RAINFALL
FARMER ASKED ABOUT CONTROL CATERPILLAR ATTACK ON GROUNDNUT,-
Farmer asked fungus in root control information of groundnut crop,:    -   -
ground nut pod borer,RECOMMENDED TO SPRAY FLUBENDAMIDEFAME 40-50 ML PER ACRE
ASKED ABOUT FERTILIZER FOR GROUNDNUT,- : : -
GROUNDNUT VARIETIES,RECOMMENDED FOR GROUNDNUT VARIETIES VEEMANAGL-24 NARAYANIK-4K-6KALAHASTHI GRESHMA ARE SUITABLE
tikka leaf spot,recommended mancozeb  400gacre
Asking about How many hours after spraying the herbicide can it rain,:            :
groundnut nutrient management,recommended for spray borax 5gmliter water
ASK ABOUT GROUNDNUT CATTERPILLER,I SUGG CLORPYRIPHOS 25MLPUMP
about weed control,no weedicide aply after 72 hr of sowing
ask about groundnut fertilizer,I suggest ammonium sulphate and ssp
groundnut top dressing,recommended for apply gypsum 100 kg  potash 30 kg acre
MOONGPHALI KI VARAITY BATAYE,MOONGPHALI KI VARAITY CHITRA  PRAKASH AMBAR KAUSHAL
wqeedicide in groudnut,pendimethalin 55 ml  10 l water
SUCKING PEST IN GROUND NUT,RECOMMENDED TO SPRAY DIMETHOATE  ROGAR 2 ML PER LITRE WATER
APHIDS MANAGEMENT,SPRAY DIMETHAOTE 17MLL OF WATER
weed management in ground nut,application of jargon 8 ml per acre
Farmer needs information about varieties of groundnut crop,- - 37 - - -  -20
Asked for SMS activation,activation Process Is Successfully Completed on your number
GROUND NUT SUCKING PEST MANAGEMENT,GROUND NUT SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  200 LITRES OF WATER ACRE
information ground net,Imidacloprid 178 SL 1ml 2 liter pani me sprye kare
TELL ME SUBSIDY ON DIGGI,SUBSIDY ON DIGGI 50 OF TOTAL COST
Farmer asked fungus control information of  Groundnut crop,WP 3
LEAF CURL IN GROUNDNUT,SPRAY IMMIDACHLOROPIT  1 ML3 LITRE OF WATER FOR LEAF CURL IN GROUNDNUT
veru purugu damage in gnut,RECOMMENDED TO SPRAY CARATAPHYDROCHLORIDEKELDAN RAADAN PADAN 8-10 KG PER ACRE
Farmer wants to know information about how to control of defoliators attack in groundnut crop,40 EC   4 EC  40 ml
Asking about Tobacco caterpillar in groundnut,Recommended for spray Profenophos 2 ml  litre of water
groundnut weed management,recommended to spray pendimethalin 5 milli liter  liter water
WEED MANAGEMENT IN GROUNDNUT,SPRAY emazithyper  HERBICIDE AFTER 30-35 DAYS OF SOWING
JADO ME SAMSYA HAI KALI PAD RHI HAIN KITT BHI HO SAKTA HAI,CARTAP HYDROCLORIDE 8 10 KILO  ECAR
asked about plant protection in groundnut,spray-saaf 2gliter
variety of groundnut,variety of groundnut sb  tag 24 tg 26
seeds treatment for ground nut,korabaan 65mlkg seed and rhizobium 5gmkg seed
LEAF DISCOLOURING,SULFEX4GL
Asked about Groundnut foliar nutrient application information,:     :   0:0:50 -5
yellow leaves,Spray Tilt  score  kavach 30gm15lit of Water
Information about fertilizer dose in groundnut crop,-    40   10     1
TELL ME COLAR ROT DISEASE CONTROL IN GROUNDNUT,HEXAKENAJOL 1ML LITER SPRAY
Groundnut top dressing fertilizer application,Recommended for apply urea 6 kg  potash 125 kg  acre
ground nut sucking,RECOMMENDED TO SPRAY DIMETHOATE  400ML ACRE
moongfali ka beej sodhan nahi liya kya jad galan tana galan ki koi dwa dalni padegi,ji yadi bimari aati he tab daliyga
asking about groundnut seed treatment information,Recommended for Treat the seeds with rhizopiam  800gmac
ask for  larva problem in cotton,suggest:corazen 5 ml per pump and tosprey
FARMER  ASKED ABOUT TO DISEASE CONTROL IN GROUNDNUT CROP,50  250
TELL ME COLLER ROT DISEASE CONTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
ask for fungus problem,carbendezim 25 gm  10 lit water drenching
variety of groundnut,variety of groundnut  TAG 24 SB 11
Farmer asked Larvae control information of groundnut,EC 30
WATER MANAGEMENT IN GROUND NUT,--RECOMMENDED TO GIVE IRRIGATION
groundnut top fertilizer management,Recommended for apply Gypsum 150kg  ac
Information regarding to seed treatment of mungphali,seed treatment of mungphali-use of captanthiram  3 gmkg seed
seed rate of safed musali,15-200kgha
Asking about groundnut leaf spot management,:       :       2     1
TELL ME ABOUT DISEASE CONTROL IN,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
